ADLINK,ADLINK（えーでぃーりんく）は、産業用電子機器メーカー。
営電,"営電株式会社（えいでん、英: EIDEN Co., Ltd.）は神奈川県川崎市に本社を置く電気機器メーカー。放送・通信機器や電子応用計測器の開発・製造・販売を行う。テレビ受像機の品質チェックを行うテスト用テレビ信号発生器の、日本国内におけるシェアは90%を越える。"
永楽電気,永楽電気株式会社（えいらくでんき）は，東京都品川区大崎にある，電力機器・情報通信機器・その他機器の設計・製作および製品に付帯する工事の設計・施工を行う会社である。また，東日本旅客鉄道（JR東日本）の発車メロディを提供している会社でも知られている。また，多くの駅の電子電鈴装置の納入も行っており，日本国有鉄道（国鉄）時代は同社製の放送装置と併せて，日本各地で使われていた。
遠藤照明,株式会社遠藤照明（えんどうしょうめい、英: ENDO Lighting Corporation）は、日本の大手照明器具専門メーカー。本社は大阪市中央区。
横河メータ&インスツルメンツ,横河メータ＆インスツルメンツ（よこがわメータアンドインスツルメンツ）は、横河電機グループの計測器メーカー。
横河電機,横河電機株式会社（よこがわでんき - Yokogawa Electric Corporation）は、東京都武蔵野市に本社を置く、工業計器・プロセス制御専業メーカーである。計測・制御機器メーカーとしては国内最大手。世界第三位にして老舗企業である。この分野の国内成長が鈍化しているために、同社の事業の約60％が海外で展開され、従業員も約60%が外国籍というグローバル企業になった。東京証券取引所一部に上場。横河電機グループの事業持株会社としての機能も有する。芙蓉グループに所属。
横浜アドバンストデジタル,"株式会社横浜アドバンストデジタル（よこはまアドバンストデジタル、Yokohama Advanced Digital, Inc.）は、かつて存在したデジタル機器のソフトウェア、ハードウェアの開発を行っていた企業。株式会社日立アドバンストデジタルの100%子会社（日立製作所の100%孫会社）であった。1975年2月、前身の株式会社イースタン技研設立。2004年7月、株式会社日立アドバンストデジタルによる完全子会社化に伴い商号変更。主要取引先は株式会社日立アドバンストデジタルで、技術者派遣や製品開発の請負を行う。2009年4月、株式会社横浜アドバンストデジタルは、日立アドバンストデジタルに吸収合併された。"
岡谷電機産業,"岡谷電機産業株式会社（おかやでんきさんぎょう、Okaya Electric Industries Co., Ltd.）は、東京都世田谷区に本社を置くノイズ対策部品や表示部品などを製造販売するメーカーである。以前は「ロダン」のブランドで真空管等を製造していた。"
岡部マイカ工業所,株式会社岡部マイカ工業所（おかべまいかこうぎょうしょ）は、福岡県中間市に本社を置く、電気絶縁用マイカ製品および関連製品の製造販売を行う日本の企業。
沖データ,株式会社沖データ（おきデータ、英: Oki Data Corporation）は、東京都港区に本社を置く日本のプリンターメーカー。
沖電気工業,沖電気工業株式会社（おきでんきこうぎょう）は、東京都港区虎ノ門に本社を置く、通信機器、現金自動預け払い機 (ATM) 等の情報機器を主体に製造するメーカーである。通称「OKI」。東京証券取引所一部上場。芙蓉グループに属する。
音羽電機工業,"音羽電機工業株式会社（おとわでんきこうぎょう、英: OTOWA Electric Co., Ltd.）は、兵庫県尼崎市に本社を置く電気機器メーカー。避雷器など、雷害関連製品を中心に取り扱う。"
加藤電気工業所,株式会社加藤電気工業所（かとうでんきこうぎょうしょ）は、航空、船舶、放送用通信施設、アンテナの設計、製作、施工を行う企業。
河村電器産業,河村電器産業株式会社（かわむらでんきさんぎょう、英: kawamura Electric Inc. ）は、分電盤、キュービクル、キャビネット、ボックス、ラック、ブレーカー等の製造をおこなう企業。なお相談役は伊藤保徳瀬戸市長である。
華為技術,華為技術有限公司（ファーウェイ・テクノロジーズ Huawei Technologies Co. Ltd.）は、中華人民共和国広東省深に本社を置く通信機器メーカーである。
