株式会社サンリオ,[[1968年]]（[[昭和]]43年）の都市交通審議会答申第10号において、'''東京7号線'''は、「'''[[目黒(東京都)目黒]]方面より[[麻布飯倉片町]]、[[永田町]]、[[市ケ谷]]、[[駒込]]及び[[王子(東京都北区)王子]]の各方面を経て[[赤羽]]方面に至る路線'''」として示された。[[1972年]]（昭和47年）の答申第15号では、将来の検討対象とされていた[[埼玉県埼玉方面]]への延伸区間が'''[[川口市]]中央部'''…'''[[浦和市]]東部'''間と改められた。その後[[1985年]]（昭和60年）の[[運輸政策審議会答申第7号]]では、目黒-清正公前（現：[[白金高輪駅]]）間を[[都営地下鉄三田線都営三田線]]と共用するものとされ、また埼玉県内は[[鳩ヶ谷駅鳩ヶ谷市中央]]経由で[[東川口駅東川口]]から浦和市東部へと変更された。このうち、目黒-赤羽岩淵間が南北線として順次開業しており、また赤羽岩淵-[[浦和美園駅浦和美園]]間は[[埼玉高速鉄道線]]として開業している。7号という路線番号が示すように、計画そのものは[[1960年代]]になされていたが、着工は大幅に遅れ、[[1991年]]（[[平成]]3年）に部分開業、[[2000年]]（平成12年）に全線開業した。後発路線のため、全体的に地中深い駅が多いのが特徴である。当初の建設計画では第1期工事区間を[[駒込駅駒込]]-赤羽岩淵間、第2期工事区間を目黒-駒込間としていたが、第2期工事区間を[[溜池山王駅溜池山王]]-駒込間（その1）、目黒-溜池山王間（その2）に分割したため、実際は3区間に分けて建設された。第1期区間は順調に建設がされたが、第2期区間は[[埋蔵文化財]]の発掘や[[住民]]の反対運動で建設は遅れ、当初の全線開業予定の[[1995年]]（平成7年）9月から2000年（平成12年）9月へと大きく延期されることとなった&lt;refname&quot;Namboku&quot;&gt;帝都高速交通営団「東京地下鉄道南北線建設史」参照。&lt;/ref&gt;。また、第2期開業にあたっては駒込駅-溜池山王駅までを一気に開業させる予定であった。しかし、[[東京メトロ銀座線銀座線]]の新駅設置工事や[[東京メトロ丸ノ内線丸ノ内線]]・[[東京メトロ千代田線千代田線]]の既設路線交差部において難工事となったため、工期に時間を要することとなった。本路線の建設費用は総額5604億円である。内訳は土木関係費が4136億4517万9000円、電気関係費が590億8743万6000円、車両関係費が302億4814万円、その他が574億1924万5000円となっている。本路線の路線名称は[[帝都高速度交通営団営団地下鉄]]職員より社内公募を行ったもので、応募は3830通（341線名）があった。選考の結果、「南北線」が1741通と約半数を占め、また本路線が地理上から、ほぼ南北に貫通していること、[[東京メトロ東西線東西線]]に対比して南北方向の路線として最もふさわしい路線名称であることから「南北線」という路線名称が選ばれた&lt;!--南北線建設史参照。--&gt;。飯田橋駅-永田町駅間では有楽町線と並行しているが、有楽町線が麹町経由であるのに対して南北線は四ツ谷経由であることが異なっている。
アルテック株式会社,[[1976年]]に設立され、包装容器の製造機器、食品や化粧品の製造機器などの特殊な産業機械や[[3Dプリンタ]]、デジタルフォトプリンタ、[[帯電防止剤]]、[[ペットボトル]]の製造機械、[[DVD]]などのメディア用ケースの販売のほか、[[福井県]]、[[中華人民共和国中国]]・[[インドネシア]]、[[タイ王国タイ]]に飲料用のプリフォーム（ペットボトルの中間材料）の生産子会社を置き、製造業にも携わっている。2006年11月期には中国での製造事業の遅れなどから33億の赤字（連結ベース）を計上し、[[フェニックス・キャピタル]]・パートナーズ・スリー投資事業組合へ[[第三者割当増資]]を行う事態に陥ったが、2007年11月期は営業利益の回復と本社ビルの売却などのリストラ策が功を奏し、黒字に転じた。しかし、2009年11月期は[[世界金融危機(2007年-)金融危機]]の影響などから再び連結最終赤字となり、2010年11月期は連結では中国の子会社が好調なため僅かながら黒字となったが、単体では国内の設備投資の減少の影響などもあって9億円の純損失を計上した。2011年11月期はタイとインドネシアに子会社を設立しアジア地区の強化を図ったが、[[東日本大震災]]などの影響や設立したタイの新子会社が[[タイ洪水(2011年)大洪水]]で被災したことなどから、連結最終利益は僅かな黒字に留まり、単体では四期連続で最終赤字となった。2012年11月期は、売上は前年比微増にとどまり、連結最終利益は減少したものの、単体では五期ぶりに最終黒字へ転換を果たした。
コスモ・バイオ株式会社,もともとはコスモ石油の子会社であったが、2000年9月、MBO（[[マネジメント・バイアウト]]）によりコスモ石油から独立。現在は子会社2社を抱える企業になっている。
株式会社ネクステージ中国,[[広島県]]に17か所、[[岡山県]]に8か所、[[鳥取県]]に1か所、合計26か所のガソリンスタンドを運営し、JX日鉱日石エネルギーと[[フランチャイズ]]契約を結んでいた（SSのブランド名はENEOS）。
株式会社米常,旧・米常ライス株式会社は1914（大正3）年に創業し、東海地方ではテレビCMを通して認知度が高かった。しかし、食生活の変化による深刻な米離れの影響により売上が減少し、2010年3月期には債務超過に陥った。同社は経営再建策として2018（平成30）年8月、同じく米穀類卸売及び炊飯、米加工品製造を行う株式会社名古屋食糧が設立した子会社、'''株式会社米常'''に事業を譲渡する。同年10月26日に旧・米常ライスが名古屋地方裁判所から特別清算開始の決定を受けた。&lt;ref&gt;中日新聞・2018年11月8日朝刊の記事より&lt;/ref&gt;
リコー関西株式会社,主に[[複写機]]・[[ファクシミリ]]・[[プリンター#レーザープリンターレーザープリンター]]やそれらの[[複合機]]・[[デジタルカメラ]]の販売を行う。[[リコー]]グループでは[[関西]]・[[四国]]の地域統括販売会社であり、メーカーの支店機能も有する。[[リコー]]製品のみならず、各社[[パーソナルコンピュータパソコン]]や[[サーバ]]をはじめとするIT関連機器の販売も行っているほか、独自で[[アプリケーションサービスプロバイダASP]]事業、[[CAD]]スクールも展開する。[[2010年]]7月、リコー関西含む国内販売会社7社が合併し[[リコージャパン]]株式会社となった。
東海澱粉株式会社,{{出典の明記date2017年5月section1}}静岡に本社があり、日本国内に59箇所の営業所を構えている&lt;ref&gt;[http://www.tdc-net.co.jp/company/office/domestic.html国内拠点一覧]&lt;/ref&gt;。商社機能を持ちながら、地域密着でダイレクト販売を行っている。会社発足当初は[[デンプン澱粉]]の加工・販売を主たる業としていた。その後、水産物や農産物の輸入・輸出など事業を多角化。主原料と副資材両用の販売を行い、現在は食品関連の総合商社となっている。また上場基準を満たすものの、非上場である。最近は海外内販にも注力し、販売網を広げている。澱粉を主とし、養殖魚やお米などメーカー機能も保有。海外店舗も含めると社員数は約1100名程。
株式会社ブライト,[[工業製品の自主規制#オートバイ自主規制]]や多くの販売台数が見込ないといった理由により日本での正規販売が行われていない、[[川崎重工業]]のオートバイを逆輸入し、各販売店に卸販売を行っている。カワサキ製オートバイの日本向けモデルの正規販売を行っている[[カワサキモータースジャパン]]と業務提携しているため、日本国外で[[リコール(自動車)リコール]]が発生した場合でも日本においても無償による修理が可能であるのが特徴である&lt;ref&gt;[http://www.bright.ne.jp/service/recall_info.html海外リコール情報]&lt;/ref&gt;。
ナス物産株式会社,NASブランドの[[ステンレス]][[特殊鋼]]・ステンレス加工品、ステンレス鋼製造のための原料・資材（[[フェロアロイ]]、[[スクラップ]]など）を扱っている、ステンレス鋼の専門商社。ステンレス専業メーカーとして国内最大手である「[[日本冶金工業]]（株）」の[[連結子会社]]である。「NAS（ナス）」とは、「Nippon-YakinAusteniteStainlessSteel」の略で、日本冶金工業が製造するステンレス鋼の商標のことであり、社名はこれに由来している。明治5年（[[1872年]]）に創業された「[[上野半兵衛商店]]」が前身で、その後、[[1954年]]に日本冶金工業の系列化に入り、[[1978年]]には現在の「ナス物産」へと社名を変更した。北海道から九州まで日本全国を網羅する営業網を構築しており、また2つの[[コイルセンター]]（中部愛知県、関西大阪府）を保有しており、加工機能を有した専門商社という点が大きな特長である。
株式会社テクノアソシエ,風雅システムよりWindows向けに発表された通り抜け型パズルゲームである。[[鳥瞰図]]で表現された固定画面で、知恵の女神アテナを操作し、画面上に設けられたスタート地点からエンド地点に到達すれば面クリアとなる。時間制限やアクション要素はなく、じっくり考えて解くタイプのゲームである。面クリアには、主人公の歩数に制限がある。ゴールに到達するまでの歩数も問われることになる。
横浜鋼業株式会社,元[[今川家]]家臣で後に[[徳川家康]]に仕えた[[安部信勝]]が5200石を領し、その子[[安倍信盛信盛]]の代に加増をうけ、[[慶安]]2年（[[1649年]]）に1万石を加増され諸侯に列した。[[安部信之信之]]の代に2万200石、[[安部信友信友]]の代に2万2200石となった。陣屋は信友の子[[安部信峯信峯]]により築かれた。陣屋は土塁と空堀を巡らせていたと言われるが、今は跡形もない。幕末には砲術家の[[高島秋帆]]の身柄を預かっている。現在は陣屋址敷地に石碑がある。その後、[[明治維新]]まで安倍氏の居館として用いられたが、[[慶応]]4年（[[1868年]]）、藩主[[安部信発信発]]が[[明治新政府]]側に自ら願い出て[[三河国]][[半原藩]]（[[愛知県]][[新城市]]）へ移転したため、岡部陣屋は廃止された。[[File:MonumentofOkabeJinya.JPG300pxthumb岡部陣屋跡「高島秋帆幽囚の地」石碑（[[埼玉県]][[深谷市]]）]]
シークス株式会社,前身は[[印刷]][[インキ]]大手の株式会社阪田商会（現[[サカタインクス]]株式会社）の海外事業部で、[[フィリピン]]向けに電子部品の輸出を行ったのが始まり&lt;ref&gt;http://www.siix.co.jp/corporate/history/index.html&lt;/ref&gt;。2015年12月で売上高2350億円・営業利益89億円、従業員数10352人の企業体である&lt;ref&gt;http://www.siix.co.jp/ir/finance/index.html&lt;/ref&gt;。事業は、EMS部門、技術支援サービス、部材調達代行・物流サービスの3つの部門から構成される。
株式会社インポートロッサ,直営店（ブティック・ロッサ、ブティック・カロー）は現在、[[東京都東京]]、[[大阪市大阪]]、[[名古屋市名古屋]]、[[神戸市神戸]]などに16店舗がある。主なラインの他に、[[季節シーズン]]により、[[礼服フォーマル]]ラインや[[毛皮]]を使ったファーコレクションなども展開される。
タキヒヨー株式会社,初代瀧兵右衛門が[[1751年]]（[[宝暦]]元年）5月、古知野（現・[[愛知県]][[江南市]]）にて絹織物の卸売業である「絹屋兵衛門」を創業したのが始まりで、[[1864年]]（[[元治]]元年）に「絹屋定助」（現・[[瀧定名古屋]]）を[[分家]]した&lt;refname&quot;財閥&quot;&gt;菊池浩之『日本の地方財閥30家』58-63頁、ISBN4582856306&lt;/ref&gt;&lt;refname&quot;沿革&quot;&gt;{{Citeweburlhttp://www.takihyo.co.jp/history/title創業からの歩みpublisherタキヒヨー株式会社accessdate2017-02-27}}&lt;/ref&gt;。戦後呉服業から繊維商社に転換し&lt;refname&quot;財閥&quot;/&gt;、テキスタイル事業・[[アパレル]]事業・生活関連事業・百貨店事業を展開しており、独自ブランドやショップの立ち上げなども行っている。[[横浜松坂屋]]の前身の[[野澤屋野澤屋呉服店]]創業時や、[[ユニー]]が合併して誕生した際にも出資するなど、名古屋関連の小売業の発展にも深く関った名門商社。以前の本社があったビルは名古屋初の100メートル級の高層ビルとして建設され、[[タキヒヨー丸の内ビル]]として有名であったが、その前後に経営難に陥り旧[[東海銀行]]より社長を受け入れるとともに旧[[東京海上火災]]にビルを売却した。現在は再建が軌道に乗り、再び創業家出身者が社長に復帰している。
名古屋木材株式会社,[[1945年]]（[[昭和]]20年）[[12月28日]]設立&lt;refname&quot;会社概要&quot;/&gt;。木材や合板、建材のほか、住宅機器、[[ウッドデッキウッドデッキ、住宅]]などの販売を行っている。[[2010年]]（[[平成]]22年）には木材コンビニ「A'zen（エイゼン）館」という[[リフォーム]]業者向け資材販売店をオープンした。さらに国産材の有効活用をと圧縮木材の研究を重ね、「紙のようにしなやかに曲がる木」を開発。クラウドファンディングで注目を浴びた「曲がる木の手帳」はメディアで取り上げられ、さらにウッドデザイン賞奨励賞を受賞するなど圧縮木材の新たな道を切り開く。
ベイクックコーポレーション株式会社,長野県全域で主に米穀の販売、加工などを行う。米穀取扱数量は年35000t。ベイクックの歌やダンスのCMの影響で長野県内では有名な会社である。
藤倉商事株式会社,*[[コメディカル]]の人材を輩出することを目的として開校された。*[[埼玉県]]にある[[人間総合科学大学]]と提携を結び、学士号取得支援教育（[[ダブルスクール]]制度）を実施している。*全ての学科において4年制での教育を行っており、卒業すると[[高度専門士]]の称号が得られる。
株式会社進和,[[2001年]]に[[カルロス・ゴーン]]社長が就任し、ブランドアイデンティティの確立を図るためにCIや企業[[フォント]]、車名フォント([[NE-01]])の一新が行われた。その際に日産自動車のタグラインが「'''SHIFT_thefuture'''」となった。これは日産自身が変わる、という表明であった。「SHIFT_thefuture」は当初、日本独自のタグラインであり、海外では各地域で言語や環境が異なるため、SHIFT_以降には地域、車種によってさまざまな言葉が使われていた。[[2004年]]秋に日本国内で、[[日産・ムラーノムラーノ]]、[[日産・フーガフーガ]]、[[日産・ティーダティーダ]]、[[日産・ティーダラティオラティオ]]、[[日産・ラフェスタラフェスタ]]、[[日産・ノートノート]]の6車種を同時に発表し、その全車種に個別のSHIFT_ワードが制定された。その後、国内の車種についても、順次個別のSHIFT_ワードが設定された&lt;ref&gt;ただし商用車は全て統一で'''SHIFT_business'''&lt;/ref&gt;ほか、さまざまなバリエーションのSHIFT_ワードが国内で制定された。なお、車種に制定されている個別のSHIFT_ワードはマイナーチェンジやフルモデルチェンジのタイミングで変更されることがあった。その後、[[2008年]]をもってSHIFT_以下に様々な単語を用いることを順次中止し、全世界で「'''SHIFT_thewayyoumove'''（'''クルマの可能性を、未来へ。'''）」に統一することになり、日本でも2008年[[11月11日]]にオンエアが開始されたエルグランドのCM「地上最高の空間（エスプレッソレザー）」篇から使用が開始され、[[11月19日]]にキューブがフルモデルチェンジされると同時に日本国内におけるSHIFT_ワードは全て「SHIFT_thewayyoumove」に統一された。また、[[アメリカ合衆国アメリカ]]でも[[2009年]][[1月3日]]の[[日産・フェアレディZ370Z]]の発売時から「SHIFT_thewayyoumove」に統一した。また、2011年3月に発生した[[東北地方太平洋沖地震]]を受け、当事国においては、2011年5月に放映が開始されてから2ヶ月間の企業CMには、「'''今こそ、モノづくりの底力を。'''」というキャッチフレーズに差し替えられた。
